2026-08-30 16:38:14,714 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:38:15,411 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:38:17,004 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:38:18,060 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:38:19,725 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:38:21,208 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:38:23,026 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:38:23,685 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:38:24,427 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:38:25,985 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:38:27,601 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:38:29,146 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:38:30,448 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:38:32,292 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:38:33,760 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:38:34,771 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:38:35,463 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:38:36,611 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
